tipo,se_conserva_o_crea,se_elimina,motivo,detalle
conservar_una,Percentatge d' habitatges turístics. Dades fins a 2024 [2025],Nombre d'habitatges turístics. Dades fins a 2024 [2025] || Places en habitatges turístics. Dades fins a 2024 [2025] || Economia 2024 | Viviendas turisticas [n] || Economia 2024 | Viviendas turisticas [% viviendas] || Economia 2024 | Viviendas turisticas [plazas],"Se prioriza la intensidad relativa de vivienda turística frente a recuentos o plazas absolutas, y se conserva la versión más reciente del indicador.",
conservar_una,Recursos municipales 2024 bomberos | Servicios totales [n],Recursos municipales 2024 bomberos | Asistencia tecnica [n] || Recursos municipales 2024 bomberos | Falsas alarmas [n] || Recursos municipales 2024 bomberos | Incendios [n] || Recursos municipales 2024 bomberos | Mercancias peligrosas [n] || Recursos municipales 2024 bomberos | Salvamentos [n],"Se conserva el total anual de servicios por distrito y se eliminan las tipologías operativas, que fragmentan mucho la información sin aportar comparabilidad clara.",
conservar_una,Recursos municipales 2024 policia local | Servicios totales [n],Recursos municipales 2024 policia local | Actos via publica [n] || Recursos municipales 2024 policia local | Humanitarios y riesgos [n] || Recursos municipales 2024 policia local | Incidencias [n] || Recursos municipales 2024 policia local | Informacion [n] || Recursos municipales 2024 policia local | Policia administrativa [n] || Recursos municipales 2024 policia local | Seguridad ciudadana [n] || Recursos municipales 2024 policia local | Servicios trafico [n] || Recursos municipales 2024 policia local | Vigilancias [n],"Se resume la actividad policial en una sola medida global, evitando un bloque muy desagregado cuyas subcategorías son difíciles de interpretar comparativamente.",
conservar_una,Recursos municipales 2024 | Sugerencias quejas y reclamaciones [%],Recursos municipales 2024 | Sugerencias quejas y reclamaciones [n],Se prioriza la versión porcentual por ser más comparable entre distritos que el recuento absoluto de sugerencias o reclamaciones.,
conservar_una,ValenBisi - estaciones [n] || ValenBisi - bicis disponibles [media],ValenBisi - anclajes libres [media] || ValenBisi - anclajes totales [n],No se fuerza un índice único de accesibilidad por resultar demasiado arbitrario; se mantienen dos dimensiones complementarias: cobertura territorial y disponibilidad operativa.,
conservar_una,Economia 2024 | Terrazas hosteleria [superficie_m2],Economia 2024 | Terrazas hosteleria [n],"Se conserva la superficie ocupada, más informativa sobre intensidad de uso del espacio público que el simple número de terrazas.",
conservar_una,Economia 2024 | Hoteles [plazas],Economia 2024 | Hoteles [n],Se prioriza la capacidad turística real frente al mero número de establecimientos.,
conservar_una,Economia 2024 | Hostales y pensiones [plazas],Economia 2024 | Hostales y pensiones [n],"Se conserva la capacidad de alojamiento, más útil para medir presión turística que el recuento de establecimientos.",
conservar_una,"Bienestar social | Distribución de solicitudes de Cheques escolares, concesiones y renta familiar media. Distritos. Curso 202425 | Porcentaje de concedidos","Bienestar social | Distribución de solicitudes de Cheques escolares, concesiones y renta familiar media. Distritos. Curso 202425 | Concedidos","Se prioriza el porcentaje de concedidos por ser más comparable entre distritos que el recuento absoluto, fuertemente condicionado por el tamaño de la demanda.",
conservar_una,Edificacion vivienda 2025 valor catastral medio | Valor total medio [EUR] || Edificacion vivienda 2025 valor catastral medio | Valor medio m2 [EUR],Edificacion vivienda 2025 valor catastral medio | Valor construccion medio [EUR] || Edificacion vivienda 2025 valor catastral medio | Valor suelo medio [EUR],"Se conservan el valor total medio y el valor medio por metro cuadrado, que resumen mejor el nivel absoluto y la intensidad del valor catastral; se eliminan sus componentes parciales.",
reducir_bloque,% Participació a les Eleccions Autonòmiques [2023] || % Participació a les Eleccions Europees [2024] || % Participació a les Eleccions Generals [2023] || % Participació a les Eleccions Locals [2023] || porcentajes de voto por partido derivados de recuentos absolutos,Elecciones 2023 autonomicas | Electorado || Elecciones 2023 autonomicas | Votos Leídos || Elecciones 2023 autonomicas | Votos Nulos || Elecciones 2023 autonomicas | Votos en Blanco || Elecciones 2023 autonomicas | Votos a Candidaturas || Elecciones 2024 europeas | Electorado || Elecciones 2024 europeas | Vots Leídos || Elecciones 2024 europeas | Votos Nulos || Elecciones 2024 europeas | Votos Válidos || Elecciones 2024 europeas | Votos en Blanco || Elecciones 2024 europeas | Votos a Candidaturas || Elecciones 2023 generales | Electorado || Elecciones 2023 generales | Votos Leídos || Elecciones 2023 generales | Votos Nulos || Elecciones 2023 generales | Votos Válidos || Elecciones 2023 generales | Votos en Blanco || Elecciones 2023 municipales | Electorado || Elecciones 2023 municipales | Votos Leídos || Elecciones 2023 municipales | Votos Nulos || Elecciones 2023 municipales | Votos en Blanco || Elecciones 2023 municipales | Votos a Candidaturas || Votos 2023 generales | PP [n] || Votos 2023 generales | PSOE [n] || Votos 2023 generales | SUMAR_COMPROMÍS [n] || Votos 2023 generales | VOX [n] || Votos 2023 generales | Otros [n] || Votos 2023 autonomicas | PP [n] || Votos 2023 autonomicas | PSOE [n] || Votos 2023 autonomicas | COMPROMÍS [n] || Votos 2023 autonomicas | VOX [n] || Votos 2023 autonomicas | UNIDES_PODEM [n] || Votos 2023 autonomicas | C's [n] || Votos 2023 autonomicas | Otros [n] || Votos 2024 europeas | PP [n] || Votos 2024 europeas | PSOE [n] || Votos 2024 europeas | VOX [n] || Votos 2024 europeas | COMPROMÍS_SUMAR [n] || Votos 2024 europeas | SE_ACABÓ_LA_FIESTA [n] || Votos 2024 europeas | PODEMOS [n] || Votos 2024 europeas | Otros [n] || Votos 2023 municipales | PP [n] || Votos 2023 municipales | COMPROMÍS_MUNICIPAL [n] || Votos 2023 municipales | PSOE [n] || Votos 2023 municipales | VOX [n] || Votos 2023 municipales | PODEM___EUPV [n] || Votos 2023 municipales | Cs [n] || Votos 2023 municipales | Otros [n],"En vez de eliminar por completo el bloque electoral, se conservan las participaciones y se transforman los votos por partido en porcentajes comparables entre distritos. Se eliminan recuentos absolutos, nulos, blancos, leídos y otros totales administrativos.",
agregar_media,Edificacion vivienda 2024 venta trimestral | Precio medio venta anual [EUR_m2],Edificacion vivienda 2024 venta trimestral | Precio medio venta T1 [EUR_m2] || Edificacion vivienda 2024 venta trimestral | Precio medio venta T2 [EUR_m2] || Edificacion vivienda 2024 venta trimestral | Precio medio venta T3 [EUR_m2] || Edificacion vivienda 2024 venta trimestral | Precio medio venta T4 [EUR_m2],Se sintetiza la serie trimestral en una media anual para evitar que una misma dimensión de precio ocupe cuatro columnas.,Media de T1-T4 de 2024.
agregar_media,Edificacion vivienda 2024 venta trimestral | Esfuerzo financiero anual [%],Edificacion vivienda 2024 venta trimestral | Esfuerzo financiero T1 [%] || Edificacion vivienda 2024 venta trimestral | Esfuerzo financiero T2 [%] || Edificacion vivienda 2024 venta trimestral | Esfuerzo financiero T3 [%] || Edificacion vivienda 2024 venta trimestral | Esfuerzo financiero T4 [%],Se resume en un único indicador anual la carga financiera asociada a la venta.,Media de T1-T4 de 2024.
agregar_media,Edificacion vivienda 2024 venta trimestral | Crecimiento anual compuesto medio [%],Edificacion vivienda 2024 venta trimestral | Crecimiento anual compuesto T1 [%] || Edificacion vivienda 2024 venta trimestral | Crecimiento anual compuesto T2 [%] || Edificacion vivienda 2024 venta trimestral | Crecimiento anual compuesto T3 [%] || Edificacion vivienda 2024 venta trimestral | Crecimiento anual compuesto T4 [%],Se evita la fragmentación trimestral de una misma tendencia de crecimiento.,Media de T1-T4 de 2024.
agregar_media,Edificacion vivienda 2024 venta idealista | Media enero-octubre [EUR_m2],Edificacion vivienda 2024 venta idealista | Enero [EUR_m2] || Edificacion vivienda 2024 venta idealista | Febrero [EUR_m2] || Edificacion vivienda 2024 venta idealista | Marzo [EUR_m2] || Edificacion vivienda 2024 venta idealista | Abril [EUR_m2] || Edificacion vivienda 2024 venta idealista | Mayo [EUR_m2] || Edificacion vivienda 2024 venta idealista | Junio [EUR_m2] || Edificacion vivienda 2024 venta idealista | Julio [EUR_m2] || Edificacion vivienda 2024 venta idealista | Agosto [EUR_m2] || Edificacion vivienda 2024 venta idealista | Septiembre [EUR_m2] || Edificacion vivienda 2024 venta idealista | Octubre [EUR_m2],"Se resume la serie mensual del portal en una única media anual disponible, reduciendo ruido temporal.",Media de enero a octubre de 2024.
agregar_media,Edificacion vivienda 2024 venta fotocasa | Media enero-octubre [EUR_m2],Edificacion vivienda 2024 venta fotocasa | Enero [EUR_m2] || Edificacion vivienda 2024 venta fotocasa | Febrero [EUR_m2] || Edificacion vivienda 2024 venta fotocasa | Marzo [EUR_m2] || Edificacion vivienda 2024 venta fotocasa | Abril [EUR_m2] || Edificacion vivienda 2024 venta fotocasa | Mayo [EUR_m2] || Edificacion vivienda 2024 venta fotocasa | Junio [EUR_m2] || Edificacion vivienda 2024 venta fotocasa | Julio [EUR_m2] || Edificacion vivienda 2024 venta fotocasa | Agosto [EUR_m2] || Edificacion vivienda 2024 venta fotocasa | Septiembre [EUR_m2] || Edificacion vivienda 2024 venta fotocasa | Octubre [EUR_m2],Se resume la serie mensual del portal en una única media anual disponible.,Media de enero a octubre de 2024.
agregar_media,Edificacion vivienda 2024 alquiler idealista | Media enero-octubre [EUR_m2_mes],Edificacion vivienda 2024 alquiler idealista | Enero [EUR_m2_mes] || Edificacion vivienda 2024 alquiler idealista | Febrero [EUR_m2_mes] || Edificacion vivienda 2024 alquiler idealista | Marzo [EUR_m2_mes] || Edificacion vivienda 2024 alquiler idealista | Abril [EUR_m2_mes] || Edificacion vivienda 2024 alquiler idealista | Mayo [EUR_m2_mes] || Edificacion vivienda 2024 alquiler idealista | Junio [EUR_m2_mes] || Edificacion vivienda 2024 alquiler idealista | Julio [EUR_m2_mes] || Edificacion vivienda 2024 alquiler idealista | Agosto [EUR_m2_mes] || Edificacion vivienda 2024 alquiler idealista | Septiembre [EUR_m2_mes] || Edificacion vivienda 2024 alquiler idealista | Octubre [EUR_m2_mes],Se resume la serie mensual de alquiler del portal en una sola media anual disponible.,Media de enero a octubre de 2024.
agregar_media,Edificacion vivienda 2024 alquiler fotocasa | Media enero-octubre [EUR_mes],Edificacion vivienda 2024 alquiler fotocasa | Enero [EUR_mes] || Edificacion vivienda 2024 alquiler fotocasa | Febrero [EUR_mes] || Edificacion vivienda 2024 alquiler fotocasa | Marzo [EUR_mes] || Edificacion vivienda 2024 alquiler fotocasa | Abril [EUR_mes] || Edificacion vivienda 2024 alquiler fotocasa | Mayo [EUR_mes] || Edificacion vivienda 2024 alquiler fotocasa | Junio [EUR_mes] || Edificacion vivienda 2024 alquiler fotocasa | Julio [EUR_mes] || Edificacion vivienda 2024 alquiler fotocasa | Agosto [EUR_mes] || Edificacion vivienda 2024 alquiler fotocasa | Septiembre [EUR_mes] || Edificacion vivienda 2024 alquiler fotocasa | Octubre [EUR_mes],Se resume la serie mensual de alquiler del portal en una sola media anual disponible.,Media de enero a octubre de 2024.
agregar_ratio,Voto 2023 generales | PP [% validos],Votos 2023 generales | PP [n] || Elecciones 2023 generales | Votos Válidos,"Se conserva la afinidad partidista como porcentaje de voto válido, más comparable entre distritos que el recuento absoluto.",PP sobre votos válidos en generales 2023.
agregar_ratio,Voto 2023 generales | PSOE [% validos],Votos 2023 generales | PSOE [n] || Elecciones 2023 generales | Votos Válidos,"Se conserva la afinidad partidista como porcentaje de voto válido, más comparable entre distritos que el recuento absoluto.",PSOE sobre votos válidos en generales 2023.
agregar_ratio,Voto 2023 generales | SUMAR_COMPROMÍS [% validos],Votos 2023 generales | SUMAR_COMPROMÍS [n] || Elecciones 2023 generales | Votos Válidos,"Se conserva la afinidad partidista como porcentaje de voto válido, más comparable entre distritos que el recuento absoluto.",SUMAR_COMPROMÍS sobre votos válidos en generales 2023.
agregar_ratio,Voto 2023 generales | VOX [% validos],Votos 2023 generales | VOX [n] || Elecciones 2023 generales | Votos Válidos,"Se conserva la afinidad partidista como porcentaje de voto válido, más comparable entre distritos que el recuento absoluto.",VOX sobre votos válidos en generales 2023.
agregar_ratio,Voto 2023 generales | Otros [% validos],Votos 2023 generales | Otros [n] || Elecciones 2023 generales | Votos Válidos,"Se conserva la afinidad partidista como porcentaje de voto válido, más comparable entre distritos que el recuento absoluto.",Otros sobre votos válidos en generales 2023.
agregar_ratio,Voto 2023 autonomicas | PP [% candidaturas],Votos 2023 autonomicas | PP [n] || Elecciones 2023 autonomicas | Votos a Candidaturas,"Se conserva la afinidad partidista como porcentaje sobre candidaturas, más comparable entre distritos que el recuento absoluto.",PP sobre candidaturas en autonómicas 2023.
agregar_ratio,Voto 2023 autonomicas | PSOE [% candidaturas],Votos 2023 autonomicas | PSOE [n] || Elecciones 2023 autonomicas | Votos a Candidaturas,"Se conserva la afinidad partidista como porcentaje sobre candidaturas, más comparable entre distritos que el recuento absoluto.",PSOE sobre candidaturas en autonómicas 2023.
agregar_ratio,Voto 2023 autonomicas | COMPROMÍS [% candidaturas],Votos 2023 autonomicas | COMPROMÍS [n] || Elecciones 2023 autonomicas | Votos a Candidaturas,"Se conserva la afinidad partidista como porcentaje sobre candidaturas, más comparable entre distritos que el recuento absoluto.",COMPROMÍS sobre candidaturas en autonómicas 2023.
agregar_ratio,Voto 2023 autonomicas | VOX [% candidaturas],Votos 2023 autonomicas | VOX [n] || Elecciones 2023 autonomicas | Votos a Candidaturas,"Se conserva la afinidad partidista como porcentaje sobre candidaturas, más comparable entre distritos que el recuento absoluto.",VOX sobre candidaturas en autonómicas 2023.
agregar_ratio,Voto 2023 autonomicas | UNIDES_PODEM [% candidaturas],Votos 2023 autonomicas | UNIDES_PODEM [n] || Elecciones 2023 autonomicas | Votos a Candidaturas,"Se conserva la afinidad partidista como porcentaje sobre candidaturas, más comparable entre distritos que el recuento absoluto.",UNIDES_PODEM sobre candidaturas en autonómicas 2023.
agregar_ratio,Voto 2023 autonomicas | C's [% candidaturas],Votos 2023 autonomicas | C's [n] || Elecciones 2023 autonomicas | Votos a Candidaturas,"Se conserva la afinidad partidista como porcentaje sobre candidaturas, más comparable entre distritos que el recuento absoluto.",C's sobre candidaturas en autonómicas 2023.
agregar_ratio,Voto 2023 autonomicas | Otros [% candidaturas],Votos 2023 autonomicas | Otros [n] || Elecciones 2023 autonomicas | Votos a Candidaturas,"Se conserva la afinidad partidista como porcentaje sobre candidaturas, más comparable entre distritos que el recuento absoluto.",Otros sobre candidaturas en autonómicas 2023.
agregar_ratio,Voto 2024 europeas | PP [% validos],Votos 2024 europeas | PP [n] || Elecciones 2024 europeas | Votos Válidos,"Se conserva la afinidad partidista como porcentaje de voto válido, más comparable entre distritos que el recuento absoluto.",PP sobre votos válidos en europeas 2024.
agregar_ratio,Voto 2024 europeas | PSOE [% validos],Votos 2024 europeas | PSOE [n] || Elecciones 2024 europeas | Votos Válidos,"Se conserva la afinidad partidista como porcentaje de voto válido, más comparable entre distritos que el recuento absoluto.",PSOE sobre votos válidos en europeas 2024.
agregar_ratio,Voto 2024 europeas | VOX [% validos],Votos 2024 europeas | VOX [n] || Elecciones 2024 europeas | Votos Válidos,"Se conserva la afinidad partidista como porcentaje de voto válido, más comparable entre distritos que el recuento absoluto.",VOX sobre votos válidos en europeas 2024.
agregar_ratio,Voto 2024 europeas | COMPROMÍS_SUMAR [% validos],Votos 2024 europeas | COMPROMÍS_SUMAR [n] || Elecciones 2024 europeas | Votos Válidos,"Se conserva la afinidad partidista como porcentaje de voto válido, más comparable entre distritos que el recuento absoluto.",COMPROMÍS_SUMAR sobre votos válidos en europeas 2024.
agregar_ratio,Voto 2024 europeas | SE_ACABÓ_LA_FIESTA [% validos],Votos 2024 europeas | SE_ACABÓ_LA_FIESTA [n] || Elecciones 2024 europeas | Votos Válidos,"Se conserva la afinidad partidista como porcentaje de voto válido, más comparable entre distritos que el recuento absoluto.",SE_ACABÓ_LA_FIESTA sobre votos válidos en europeas 2024.
agregar_ratio,Voto 2024 europeas | PODEMOS [% validos],Votos 2024 europeas | PODEMOS [n] || Elecciones 2024 europeas | Votos Válidos,"Se conserva la afinidad partidista como porcentaje de voto válido, más comparable entre distritos que el recuento absoluto.",PODEMOS sobre votos válidos en europeas 2024.
agregar_ratio,Voto 2024 europeas | Otros [% validos],Votos 2024 europeas | Otros [n] || Elecciones 2024 europeas | Votos Válidos,"Se conserva la afinidad partidista como porcentaje de voto válido, más comparable entre distritos que el recuento absoluto.",Otros sobre votos válidos en europeas 2024.
agregar_ratio,Voto 2023 municipales | PP [% candidaturas],Votos 2023 municipales | PP [n] || Elecciones 2023 municipales | Votos a Candidaturas,"Se conserva la afinidad partidista como porcentaje sobre candidaturas, más comparable entre distritos que el recuento absoluto.",PP sobre candidaturas en municipales 2023.
agregar_ratio,Voto 2023 municipales | COMPROMÍS_MUNICIPAL [% candidaturas],Votos 2023 municipales | COMPROMÍS_MUNICIPAL [n] || Elecciones 2023 municipales | Votos a Candidaturas,"Se conserva la afinidad partidista como porcentaje sobre candidaturas, más comparable entre distritos que el recuento absoluto.",COMPROMÍS_MUNICIPAL sobre candidaturas en municipales 2023.
agregar_ratio,Voto 2023 municipales | PSOE [% candidaturas],Votos 2023 municipales | PSOE [n] || Elecciones 2023 municipales | Votos a Candidaturas,"Se conserva la afinidad partidista como porcentaje sobre candidaturas, más comparable entre distritos que el recuento absoluto.",PSOE sobre candidaturas en municipales 2023.
agregar_ratio,Voto 2023 municipales | VOX [% candidaturas],Votos 2023 municipales | VOX [n] || Elecciones 2023 municipales | Votos a Candidaturas,"Se conserva la afinidad partidista como porcentaje sobre candidaturas, más comparable entre distritos que el recuento absoluto.",VOX sobre candidaturas en municipales 2023.
agregar_ratio,Voto 2023 municipales | PODEM___EUPV [% candidaturas],Votos 2023 municipales | PODEM___EUPV [n] || Elecciones 2023 municipales | Votos a Candidaturas,"Se conserva la afinidad partidista como porcentaje sobre candidaturas, más comparable entre distritos que el recuento absoluto.",PODEM___EUPV sobre candidaturas en municipales 2023.
agregar_ratio,Voto 2023 municipales | Cs [% candidaturas],Votos 2023 municipales | Cs [n] || Elecciones 2023 municipales | Votos a Candidaturas,"Se conserva la afinidad partidista como porcentaje sobre candidaturas, más comparable entre distritos que el recuento absoluto.",Cs sobre candidaturas en municipales 2023.
agregar_ratio,Voto 2023 municipales | Otros [% candidaturas],Votos 2023 municipales | Otros [n] || Elecciones 2023 municipales | Votos a Candidaturas,"Se conserva la afinidad partidista como porcentaje sobre candidaturas, más comparable entre distritos que el recuento absoluto.",Otros sobre candidaturas en municipales 2023.
agregar_indice,Renta consumo precios 2024 | Indice sintetico de consumos e infraestructuras urbanas [z-media],Renta consumo precios 2024 agua | Litros facturados por habitante y dia || Renta consumo precios 2024 alumbrado publico | Consumo electrico [kWh] || Renta consumo precios 2024 monumentos | Potencia instalada total [kW] || Renta consumo precios 2024 pasos inferiores | Potencia instalada total [kW],"Aquí sí se integra la información de varias columnas en una sola, pero únicamente tras estandarizar cada variable para hacer comparables unidades distintas.","Media de los z-scores de agua facturada por habitante, consumo eléctrico de alumbrado público, potencia de monumentos y potencia de pasos inferiores."
